Nama Perusahaan,Alamat,Modul Pembelajaran
Selgi Agilsa Ebimbi,"Jl. Nggepos III No.35A, Jerakah, Tugu, Semarang",Text Minning Machine Learning Jejaring Sosial Sistem Informasi Geografis Grafika Komputer Basis Data Terdistribusi Web Service
Braindevs PT. IlmuKomputerCom Braindevs Sistema,"Menara Bidakara 1 Lantai 2, Jl. Gatot Subroto Kav. 71-73 Pancoran Jakarta Selatan 12870",Systems Analysis and Design Communication Skills Requirement Analysis Team Work Time Management
Marawa Studio PT Mafela Ranca Wana,"Jl. Tan Malaka No. 138 Lt 3 , Kota Payakumbuh, Sumatera Barat",Framing Shot Pemahaman Dasar Menggambar Perspektif Proporsi dan Komposis Concept Art Character Gambar Ilustrasi Environment Storyboard Visual Editing 
Suitmedia PT Suitmedia Kreasi Indonesia,"Jl. Pejaten Barat II No. 3A Jakarta, Indonesia 12510",Pemahaman terkait Kick off Meeting Project Timeline Project Management Tools Mengetahui cara interview dengan klien membuat Minutes of Meeting Job Request memahami Scope of Work Pemahaman terkait Maintenance services Upselling NPS Pemahaman terkait Company Profile Services Pemahaman terkait tren industri digital Digital Assessment Technical Development Pemahaman terkait Quotation Change Request negosiasi dalam sales Pemahaman terkait dokumen administrasi proyek weekly progress report handover report Menemukan Leads introductory email dan penggunaan tools HubSpot CRM
Widya Robotics PT Widya Inovasi Indonesia,"Jl. Palagan Tentara Pelajar KM 7.5 No.31A, Mudal, Sariharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581", Riset teknologi AI Dataset annotation Perancangan model AI Debugging Dataset collection
tiket.com PT Global Tiket Network,"Wisma Barito Pacific II Lantai. 8, Jalan Letnan Jenderal Siswondo Parman Kavling. 60, Desa/Kelurahan Slipi, Kec. Pal Merah, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Jakarta Raya Indonesia",Teamwork Collaboration Feature Store Analytical Thinking Tableau Access Management Communication 
Metrodata Academy PT Mitra Integrasi Informatika,"APL Tower Lantai 37, Jl. Letjen S. Parman Kav. 28, RT.12/RW.6, Tj. Duren Sel., Jakarta Barat, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",Data Concept Environment Office Word Excel Power Point Data Minning Data Analysis Office 365 Data Governance Quality Control Power BI Data Analysis
Power Academy PT Mitra Semeru Indonesia,"Jl. Mampang Prapatan Raya no 84A, Tegal Parang, Mampang Prapatan, Jakarta Selatan",Logika dan Konsep Teknologi AI Siklus Projek AI Pemrograman Phyton Metode Penelitian AI Proyek Akhir Kewirausahaan
NF Computer PT Nurul Fikri Cipta Inovasi,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Desain Web Version Control System (VCS) Git Github Pemrograman JavaScript Framework Laravel Database MySQL Final Project REST API Pemrograman PHP UI UX Soft Skill
Hacktiv8 PT Hacktivate Teknologi Indonesia,"Gedung Aquarius Lt. 1&2, Jl. Sultan Iskandar Muda No. 7,  RT. 005 RW. 009, Kebayoran Lama Selatan, Kebayoran Lama, Jakarta Selatan 12240",Memahami Dasar Fundamental untuk menjadi seorang programmer website Melakukan deployment dan development website secara online Menguasai CSS Framework CSS beserta cara kerjanya dalam pembuatan sebuah website Mengerti 1 cycle development Website Memahami dan bisa mengimplementasikan pengembangan Interface website termasuk Interface Responsive View 
NF Computer PT Nurul Fikri Cipta Inovasi ,"Jl. Situ Indah No.116 RT. 006 RW. 010 Kel. Tugu,  Kec. Cimanggis, Kota Depok, Jawa Barat",Soft Skill UI UX Design Pattern Pemrograman Mobile Code Versioning Dasar Dasar Pemrograman Databases Final Project
